super_genre,company,n,pctOfApps,country,leaf_parent
Health & Lifestyle,Google,145727,15.19,US,Alphabet
Health & Lifestyle,Doubleclick,95139,9.92,US,Alphabet
Health & Lifestyle,Facebook,71345,7.44,US,Facebook
Health & Lifestyle,Google Analytics,63658,6.64,US,Alphabet
Health & Lifestyle,Google Tag Manager,56878,5.93,US,Alphabet
Health & Lifestyle,Twitter,47940,5,US,Twitter
Health & Lifestyle,Microsoft,33417,3.48,US,Microsoft
Health & Lifestyle,Yahoo,30168,3.14,US,Verizon
Health & Lifestyle,Linkedin,29587,3.08,US,Linkedin
Health & Lifestyle,Admob,23320,2.43,US,Alphabet
Health & Lifestyle,Amazon Web Services,17866,1.86,US,Amazon
Health & Lifestyle,Youtube,16827,1.75,US,Alphabet
Health & Lifestyle,Flurry,10890,1.14,US,Oath
Health & Lifestyle,Amazon,8510,0.89,US,Amazon
Health & Lifestyle,Appsflyer,6195,0.65,US,Appsflyer
Health & Lifestyle,Chartboost,5024,0.52,,Chartboost
Health & Lifestyle,Adobe,4460,0.46,US,Adobe
Health & Lifestyle,Applovin,4284,0.45,US,Applovin
Health & Lifestyle,Mopub,4269,0.44,US,Twitter
Health & Lifestyle,Cloudflare,4207,0.44,US,Cloudflare
Health & Lifestyle,Cheetahmobile,3724,0.39,CN,Cheetahmobile
Health & Lifestyle,Yandex,3515,0.37,RU,Yandex
Health & Lifestyle,Applifier,3305,0.34,FI,Unity Technologies
Health & Lifestyle,Revmob,3142,0.33,DE,Revmob
Health & Lifestyle,Flickr,3083,0.32,US,Oath
Health & Lifestyle,Appnext,3038,0.32,UK,Appnext
Health & Lifestyle,Adcolony,2917,0.3,US,Opera
Health & Lifestyle,Baidu,2884,0.3,CN,Baidu
Health & Lifestyle,Akamai,2873,0.3,US,Akamai
Health & Lifestyle,Alibaba,2870,0.3,CN,Alibaba
Health & Lifestyle,Amazon Marketing Services,2810,0.29,US,Amazon
Health & Lifestyle,Inmobi,2765,0.29,SG,Inmobi
Health & Lifestyle,New Relic,2589,0.27,US,New Relic
Health & Lifestyle,Ironsource,2278,0.24,US,Ironsource
Health & Lifestyle,Disqus,2164,0.23,US,Disqus
Health & Lifestyle,Apple,2161,0.23,US,Apple
Health & Lifestyle,Appodeal,2096,0.22,US,Appodeal
Health & Lifestyle,Pubnative,2024,0.21,DE,Pubnative
Health & Lifestyle,Liverail,2001,0.21,US,Facebook
Health & Lifestyle,Rubicon Project,1834,0.19,US,Rubicon Project
Health & Lifestyle,Tumblr,1771,0.18,US,Oath
Health & Lifestyle,Mail.ru,1626,0.17,RU,Mail.ru
Health & Lifestyle,Smart Adserver,1560,0.16,UK,Smart Adserver
